@id,historic,name,lng,lat
"node/256771562","archaeological_site","Southend Hill",-0.6668488,51.8402958
"node/256920748","archaeological_site","Castle",0.4195949,51.304477
"node/257598905","archaeological_site","undefined",-0.6073349,51.8421992
"node/257621531","archaeological_site","Pont du diable",-4.4815316,48.5733835
"node/257744817","archaeological_site","undefined",-0.5583236,51.7255496
"node/258316432","archaeological_site","Roman Villa",-0.3410071,51.7142806
"node/258357187","archaeological_site","undefined",7.1321107,50.0990653
"node/259641445","archaeological_site","Castell Zugmantel",8.2038273,50.1899533
"node/259995531","archaeological_site","Römische Töpferöfen",8.636203,50.1571772
"node/260391911","archaeological_site","Dorf Ofeld",10.9710018,52.2369654
"node/260391914","archaeological_site","Lübbensteine",10.9868489,52.2296113
"node/260797495","archaeological_site","Lascaux II",1.1672181,45.0534753
"node/261013326","archaeological_site","Römischer Grabhügel",8.875815,50.160195
"node/261021600","archaeological_site","Römisches Kastell / Bad",8.9820174,50.1536151
"node/261081466","archaeological_site","Doss Zelor",11.4431008,46.2814122
"node/261081630","archaeological_site","Doss Zelor",11.4422332,46.2818698
"node/261702284","archaeological_site","Begijnhof",2.8630032,51.0354652
"node/262236118","archaeological_site","Keltisches Fürstengrab",9.0085852,50.3055668
"node/262327130","archaeological_site","undefined",9.6021804,51.7333655
"node/262416799","archaeological_site","Crofton Pumping Station",-1.6259579,51.3589225
"node/262504852","archaeological_site","Dolmen du Mané er Hroech",-2.9386397,47.5628026
"node/262504903","archaeological_site","Dolmen des pierres plates",-2.9507052,47.5567296
"node/262508207","archaeological_site","Dolmen du Mané Lud",-2.9511411,47.5738634
"node/262528293","archaeological_site","Wachturm WP 9/116",9.61804,48.9290757
"node/263683554","archaeological_site","Isis- und Mater Magna-Heiligtum",8.2679999,50.0012733
"node/263822419","archaeological_site","Banco dela Reson",11.4618678,46.2876135
"node/264097920","archaeological_site","Römisches Theater",8.278336,49.9929674
"node/264128581","archaeological_site","Römisches Bad",8.4437183,50.2279266
